id,area,feature,user_story,expected_behaviour,status,phase2_result,phase3_fix,phase4_retest
S-01,search CLI,Capability search (table),"As a developer, I run `starlog search ""<capability>""` to see ranked candidate packages.","Prints a table (#, Library, Category, Score, Solves) of up to 5 results ranked by the local keyword ranker with MMR diversity (lambda 0.5); scores are absolute; exit 0.",FIXED,"Ranking/output correct, exit 0 — but library names >20 chars overflow their column with no separator (e.g. `Flagsmith JavaScript Clientfeature-flags`), corrupting the table (BUG-1).","formatTable now sizes Library/Category columns to the data plus a 2-space gutter (src/engine/format.ts); regression tests added.","PASS — long names render with a clean gutter and aligned header."
S-02,search CLI,Search JSON output,"As a tool builder, I run `starlog search <q> --format json` to get machine-readable results.","Prints a pretty-printed JSON array of QueryResult objects (manifest, relevance_score, vs_custom, context_fit, tradeoffs) on stdout; nothing else on stdout; exit 0.",PASS,Valid JSON array on stdout; exit 0.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-03,search CLI,Invalid --format rejected,"As a user, I mistype `--format xml` and expect a clear error.","Prints `Invalid format: xml. Use ""json"" or ""table"".` and exits 1.",PASS,Exact message; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-04,search CLI,Unknown category warns but searches,"As a user, I pass `--category doesnotexist` and still want results.","Warns `Note: ""...""  is not a known category (...)` listing known categories, then searches the whole corpus anyway; exit 0.",PASS,Warning + full-corpus search confirmed.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-05,search CLI,Known category filter,"As a user, I filter with `--category caching` to only see caching libraries.","Only manifests whose category exactly matches are returned.",PASS,Only caching results returned.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-06,search CLI,Stack filter is exact-match,"As a user, I filter `--stack react` and must not get react-native-only libraries.","stack_affinity is matched case-insensitively but exactly (no substring); non-matching manifests are excluded.",PASS,"`--stack next` returns nothing (no substring match on next.js); react/react-native behave per manifest data.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-07,search CLI,--top-k limits results,"As a user, I pass `--top-k 2` to cap the result count.","At most 2 results print; invalid (zero/negative/non-numeric) values are rejected with a clear error and exit 1.",FIXED,"`--top-k 2` works. But invalid values misbehave silently: non-numeric falls back to 5 with no warning, and `--top-k 0`/negative prints the misleading 'No strong match in the local index' message even though matches exist (BUG-3).","search now rejects zero/negative/non-numeric --top-k with a clear error and exit 1 (src/cli.ts); e2e test added.","PASS — --top-k 0/-3/abc all error cleanly; --top-k 2 caps at 2."
S-08,search CLI,Honest no-match,"As a user with an out-of-corpus query, I want an honest miss, not a forced answer.","stderr explains no strong match + lists covered categories + points at `starlog facts` / `corpus add`; exit 0. With `--format json`, stdout still gets `[]` so jq pipelines parse.",PASS,Guidance on stderr; `[]` on stdout for JSON; exit 0.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-09,search CLI,Lone low-score hit flagged,"As a user whose query matched a stray keyword, I should see it's low confidence.","When exactly 1 result scores < 70 (table mode), stderr prints 'No strong match ... Closest by keyword:' before the table.",PASS,"Confirmed with `sendmail` and `kysely` queries.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-10,search CLI,--diversity lambda,"As a power user, I pass `--diversity 1` for pure relevance order.","lambda >= 1.0 disables MMR (pure score-descending); lower values trade relevance for diversity; displayed scores always monotonic descending.",PASS,"Pure score-desc at lambda 1; default reranks; scores monotonic.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-11,search CLI,--context DIY-vs-buy analysis,"As a user, I pass `--context` to get a per-library vs-custom rationale.","With an LLM available (ANTHROPIC_API_KEY) top results gain vs_custom/tradeoffs; without a key search still works and fields stay empty (never crashes).",PASS,Keyless path never crashes; results unchanged; LLM path guarded by try/catch (unit-covered).,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
S-12,search CLI,Private corpus surfaces first,"As an org developer, my internal package (STARLOG_PRIVATE_CORPUS) should surface first for a matching capability.","Relevant (score>=70) private manifests are floated ahead of public results; off-topic private manifests are not floated; private wins on id collision.",PASS,"@acme/flags floated to #1 for a flags query (score 77.75); not floated for `redis caching`.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
